date,portfolio_return,valid_stocks,total_stocks,benchmark_return,cumulative_return,cumulative_benchmark,excess_return
2010-05-01,-0.087971,113,113,-0.095883,0.912029,0.904117,0.007912
2010-06-01,-0.087083,113,113,-0.075792,0.832606,0.835592,-0.011291
2010-07-01,0.164258,113,113,0.119302,0.969368,0.935280,0.044956
2010-08-01,0.055162,110,113,0.011970,1.022840,0.946475,0.043192
2010-09-01,0.009128,112,113,0.011153,1.032177,0.957031,-0.002025
2010-10-01,0.120812,112,113,0.151388,1.156876,1.101914,-0.030576
2010-11-01,-0.028313,113,113,-0.071891,1.124121,1.022697,0.043578
2010-12-01,-0.015850,113,113,-0.002783,1.106305,1.019850,-0.013067
2011-01-01,-0.035382,112,113,-0.016543,1.067162,1.002979,-0.018839
2011-02-01,0.091943,113,113,0.052998,1.165280,1.056135,0.038945
2011-03-01,-0.010622,111,113,-0.005022,1.152903,1.050831,-0.005600
2011-04-01,-0.022003,112,113,-0.009484,1.127535,1.040865,-0.012519
2011-05-01,-0.079362,133,135,-0.059874,1.038052,0.978544,-0.019488
2011-06-01,0.045824,133,135,0.014169,1.085620,0.992409,0.031655
2011-07-01,-0.000867,135,135,-0.023656,1.084678,0.968933,0.022789
2011-08-01,-0.044361,135,135,-0.042159,1.036560,0.928084,-0.002202
2011-09-01,-0.118748,135,135,-0.093239,0.913471,0.841550,-0.025509
2011-10-01,0.040631,135,135,0.044147,0.950586,0.878702,-0.003516
2011-11-01,-0.070193,134,135,-0.064479,0.883861,0.822044,-0.005714
2011-12-01,-0.110896,134,135,-0.069712,0.785845,0.764738,-0.041184
2012-01-01,0.030062,134,135,0.050526,0.809469,0.803377,-0.020464
2012-02-01,0.115865,134,135,0.068938,0.903258,0.858760,0.046927
2012-03-01,-0.070487,134,135,-0.068045,0.839590,0.800326,-0.002442
2012-04-01,0.089078,134,135,0.069762,0.914378,0.856158,0.019316
2012-05-01,0.015490,150,152,0.002241,0.928542,0.858077,0.013249
2012-06-01,-0.082278,151,152,-0.064752,0.852144,0.802515,-0.017526
2012-07-01,-0.073173,151,152,-0.052279,0.789790,0.760560,-0.020894
2012-08-01,-0.020130,150,152,-0.054890,0.773891,0.718813,0.034760
2012-09-01,0.017893,150,152,0.040020,0.787738,0.747580,-0.022127
2012-10-01,-0.011233,150,152,-0.016696,0.778890,0.735098,0.005463
2012-11-01,-0.087345,150,152,-0.051072,0.710858,0.697555,-0.036273
2012-12-01,0.185832,149,152,0.179136,0.842958,0.822512,0.006696
2013-01-01,0.054497,149,152,0.064975,0.888897,0.875955,-0.010478
2013-02-01,0.022147,150,152,-0.005045,0.908583,0.871536,0.027192
2013-03-01,-0.062729,150,152,-0.066675,0.851588,0.813426,0.003946
2013-04-01,-0.029113,151,152,-0.019148,0.826796,0.797851,-0.009965
2013-05-01,0.106535,129,129,0.065018,0.914878,0.849725,0.041517
2013-06-01,-0.165418,127,129,-0.155687,0.763541,0.717434,-0.009731
2013-07-01,0.045868,128,129,-0.003462,0.798563,0.714950,0.049330
2013-08-01,0.090318,128,129,0.055124,0.870688,0.754361,0.035194
2013-09-01,0.042958,128,129,0.041111,0.908091,0.785374,0.001847
2013-10-01,-0.000506,129,129,-0.014661,0.907631,0.773860,0.014155
2013-11-01,0.075322,129,129,0.027478,0.975996,0.795124,0.047844
2013-12-01,-0.033163,127,129,-0.044658,0.943629,0.759615,0.011495
2014-01-01,-0.035264,126,129,-0.054753,0.910353,0.718024,0.019489
2014-02-01,0.034111,126,129,-0.010660,0.941405,0.710370,0.044771
2014-03-01,-0.017110,127,129,-0.014991,0.925298,0.699721,-0.002119
2014-04-01,-0.011469,127,129,0.005756,0.914685,0.703748,-0.017225
2014-05-01,0.005420,165,168,-0.001017,0.919643,0.703032,0.006437
2014-06-01,0.021210,164,168,0.004013,0.939149,0.705854,0.017197
2014-07-01,0.104405,162,168,0.085507,1.037201,0.766209,0.018898
2014-08-01,0.040495,163,168,-0.005091,1.079202,0.762308,0.045586
2014-09-01,0.118769,166,168,0.048198,1.207378,0.799050,0.070571
2014-10-01,0.039430,165,168,0.023393,1.254985,0.817742,0.016037
2014-11-01,0.081769,161,168,0.119799,1.357604,0.915707,-0.038030
2014-12-01,0.107523,163,168,0.258075,1.503577,1.152028,-0.150552
2015-01-01,0.047457,165,168,-0.028105,1.574933,1.119650,0.075562
2015-02-01,0.060516,164,168,0.040314,1.670241,1.164788,0.020202
2015-03-01,0.192392,162,168,0.133888,1.991582,1.320739,0.058504
2015-04-01,0.177089,163,168,0.172463,2.344269,1.548518,0.004626
2015-05-01,0.145492,177,184,0.019146,2.685340,1.578166,0.126346
2015-06-01,-0.052249,176,184,-0.075985,2.545033,1.458249,0.023736
2015-07-01,-0.156294,166,184,-0.146725,2.147259,1.244287,-0.009569
2015-08-01,-0.153572,164,184,-0.117946,1.817500,1.097528,-0.035626
2015-09-01,-0.044699,162,184,-0.048592,1.736259,1.044197,0.003893
2015-10-01,0.177337,165,184,0.103383,2.044163,1.152150,0.073954
2015-11-01,0.098750,167,184,0.009149,2.246023,1.162691,0.089601
2015-12-01,0.062082,171,184,0.046151,2.385460,1.216350,0.015931
2016-01-01,-0.271513,166,184,-0.210376,1.737777,0.960459,-0.061137
2016-02-01,-0.019590,171,184,-0.023293,1.703733,0.938087,0.003703
2016-03-01,0.172519,171,184,0.118375,1.997660,1.049133,0.054144
2016-04-01,-0.021253,172,184,-0.019062,1.955204,1.029135,-0.002191
2016-05-01,0.001336,216,225,0.004060,1.957816,1.033313,-0.002724
2016-06-01,0.046312,215,225,-0.004934,2.048487,1.028215,0.051246
2016-07-01,0.038539,219,225,0.015856,2.127433,1.044518,0.022683
2016-08-01,0.043809,222,225,0.038660,2.220634,1.084899,0.005149
2016-09-01,-0.017143,220,225,-0.022390,2.182565,1.060608,0.005247
2016-10-01,0.031714,216,225,0.025511,2.251784,1.087665,0.006203
2016-11-01,0.041717,214,225,0.060463,2.345721,1.153429,-0.018746
2016-12-01,-0.054516,218,225,-0.064421,2.217841,1.079124,0.009905
2017-01-01,0.000009,217,225,0.023528,2.217862,1.104513,-0.023519
2017-02-01,0.038679,218,225,0.019141,2.303647,1.125655,0.019538
2017-03-01,0.006623,218,225,0.000937,2.318904,1.126710,0.005686
2017-04-01,-0.017079,217,225,-0.004714,2.279299,1.121398,-0.012365
2017-05-01,-0.041313,229,238,0.015446,2.185134,1.138719,-0.056759
2017-06-01,0.056978,231,238,0.049791,2.309640,1.195417,0.007187
2017-07-01,0.022292,228,238,0.019383,2.361126,1.218588,0.002909
2017-08-01,0.010461,228,238,0.022532,2.385827,1.246045,-0.012071
2017-09-01,0.013498,230,238,0.003770,2.418032,1.250743,0.009728
2017-10-01,0.002728,232,238,0.044368,2.424628,1.306236,-0.041640
2017-11-01,-0.008984,232,238,-0.000154,2.402845,1.306035,-0.008830
2017-12-01,0.000876,234,238,0.006180,2.404949,1.314106,-0.005304
2018-01-01,0.016205,231,238,0.060792,2.443920,1.393993,-0.044587
2018-02-01,-0.038516,228,238,-0.058995,2.349790,1.311755,0.020479
2018-03-01,-0.009649,225,238,-0.031102,2.327116,1.270956,0.021453
2018-04-01,-0.044807,226,238,-0.036327,2.222845,1.224786,-0.008480
2018-05-01,-0.012113,165,170,0.012111,2.195919,1.239620,-0.024224
2018-06-01,-0.096187,164,170,-0.076634,1.984700,1.144623,-0.019553
2018-07-01,-0.005067,164,170,0.001900,1.974644,1.146797,-0.006967
2018-08-01,-0.078169,168,170,-0.052067,1.820288,1.087087,-0.026102
2018-09-01,0.003235,166,170,0.031297,1.826176,1.121110,-0.028062
2018-10-01,-0.092705,167,170,-0.082888,1.656880,1.028183,-0.009817
2018-11-01,0.039934,169,170,0.005982,1.723046,1.034334,0.033952
2018-12-01,-0.041160,169,170,-0.051072,1.652125,0.981508,0.009912
2019-01-01,0.008218,168,170,0.063434,1.665702,1.043769,-0.055216
2019-02-01,0.186490,168,170,0.146093,1.976338,1.196257,0.040397
2019-03-01,0.091880,168,170,0.055315,2.157925,1.262428,0.036565
2019-04-01,-0.018924,168,170,0.010554,2.117087,1.275751,-0.029478
2019-05-01,-0.072532,208,208,-0.072427,1.963530,1.183352,-0.000105
2019-06-01,0.012796,208,208,0.053942,1.988656,1.247185,-0.041146
2019-07-01,-0.013819,208,208,0.002554,1.961176,1.250370,-0.016373
2019-08-01,-0.024804,208,208,-0.009327,1.912531,1.238708,-0.015477
2019-09-01,0.005303,208,208,0.003933,1.922673,1.243580,0.001370
2019-10-01,0.003738,208,208,0.018934,1.929860,1.267126,-0.015196
2019-11-01,-0.013563,208,208,-0.014943,1.903686,1.248191,0.001380
2019-12-01,0.082786,208,208,0.069975,2.061285,1.335533,0.012811
2020-01-01,-0.012111,208,208,-0.022624,2.036320,1.305318,0.010513
2020-02-01,-0.005392,208,208,-0.015947,2.025340,1.284502,0.010555
2020-03-01,-0.050551,208,208,-0.064439,1.922956,1.201730,0.013888
2020-04-01,0.026568,208,208,0.061425,1.974045,1.275546,-0.034857
2020-05-01,0.009846,225,225,-0.011643,1.993482,1.260695,0.021489
2020-06-01,0.066717,225,225,0.076788,2.126481,1.357502,-0.010071
2020-07-01,0.164042,225,225,0.127542,2.475312,1.530640,0.036500
2020-08-01,0.027945,225,225,0.025808,2.544483,1.570143,0.002137
2020-09-01,-0.069430,225,225,-0.047510,2.367820,1.495545,-0.021920
2020-10-01,0.007275,225,225,0.023529,2.385044,1.530734,-0.016254
2020-11-01,0.038109,225,225,0.056422,2.475935,1.617101,-0.018313
2020-12-01,-0.045119,225,225,0.050610,2.364224,1.698943,-0.095729
2021-01-01,-0.051865,225,225,0.026994,2.241603,1.744804,-0.078859
2021-02-01,0.056408,225,225,-0.002841,2.368047,1.739847,0.059249
2021-03-01,0.021859,225,225,-0.054040,2.419809,1.645825,0.075899
2021-04-01,-0.005665,225,225,0.014882,2.406100,1.670319,-0.020547
2021-05-01,0.035353,254,254,0.040613,2.491162,1.738155,-0.005260
2021-06-01,-0.007544,254,254,-0.020168,2.472370,1.703100,0.012624
2021-07-01,-0.023847,254,254,-0.079033,2.413412,1.568499,0.055186
2021-08-01,0.083600,254,254,-0.001156,2.615172,1.566686,0.084756
2021-09-01,0.008805,254,254,0.012646,2.638200,1.586498,-0.003841
2021-10-01,-0.042394,254,254,0.008710,2.526355,1.600317,-0.051104
2021-11-01,0.063023,254,254,-0.015634,2.685574,1.575297,0.078657
2021-12-01,0.068397,254,254,0.022423,2.869261,1.610620,0.045974
2022-01-01,-0.065505,254,254,-0.076229,2.681309,1.487844,0.010724
2022-02-01,0.045409,254,254,0.003916,2.803065,1.493671,0.041493
2022-03-01,-0.028217,254,254,-0.078367,2.723971,1.376616,0.050150
2022-04-01,-0.114050,254,254,-0.048869,2.413303,1.309342,-0.065181
2022-05-01,0.067649,298,298,0.018743,2.576561,1.333883,0.048906
2022-06-01,0.046120,298,298,0.096173,2.695391,1.462167,-0.050053
2022-07-01,0.000685,298,298,-0.070214,2.697237,1.359502,0.070899
2022-08-01,-0.018971,298,298,-0.021885,2.646067,1.329750,0.002914
2022-09-01,-0.077518,298,298,-0.067165,2.440949,1.240437,-0.010353
2022-10-01,0.012910,298,298,-0.077843,2.472461,1.143878,0.090753
2022-11-01,0.094072,298,298,0.098137,2.705052,1.256134,-0.004065
2022-12-01,-0.040394,298,298,0.004827,2.595783,1.262198,-0.045221
2023-01-01,0.078369,298,298,0.073670,2.799213,1.355184,0.004699
2023-02-01,0.047817,298,298,-0.021025,2.933063,1.326691,0.068842
2023-03-01,0.002895,298,298,-0.004554,2.941554,1.320649,0.007449
2023-04-01,-0.002036,298,298,-0.005391,2.935566,1.313530,0.003355
2023-05-01,-0.005079,348,348,-0.057220,2.920655,1.238369,0.052141
2023-06-01,0.023861,348,348,0.011559,2.990346,1.252684,0.012302
2023-07-01,0.022336,348,348,0.044809,3.057137,1.308815,-0.022473
2023-08-01,-0.041139,348,348,-0.062113,2.931369,1.227521,0.020974
2023-09-01,-0.001349,348,348,-0.020118,2.927414,1.202826,0.018769
2023-10-01,-0.038702,348,348,-0.031714,2.814118,1.164679,-0.006988
2023-11-01,0.026728,348,348,-0.021358,2.889333,1.139804,0.048086
2023-12-01,-0.018234,348,348,-0.018618,2.836649,1.118583,0.000384
2024-01-01,-0.125488,348,348,-0.062883,2.480683,1.048243,-0.062605
2024-02-01,0.095234,348,348,0.093530,2.716928,1.146285,0.001704
2024-03-01,0.047223,348,348,0.006087,2.845231,1.153263,0.041136
2024-04-01,0.014456,348,348,0.018915,2.886360,1.175077,-0.004459
2024-05-01,0.000232,427,427,-0.006789,2.887030,1.167099,0.007021
2024-06-01,-0.060964,427,427,-0.033036,2.711025,1.128543,-0.027928
2024-07-01,-0.016058,427,427,-0.005654,2.667493,1.122162,-0.010404
2024-08-01,-0.041256,427,427,-0.035052,2.557442,1.082828,-0.006204
2024-09-01,0.210987,427,427,0.209676,3.097029,1.309871,0.001311
2024-10-01,0.012974,427,427,-0.031563,3.137209,1.268528,0.044537
2024-11-01,0.039515,427,427,0.006565,3.261176,1.276856,0.032950
2024-12-01,-0.022271,427,427,0.004680,3.188547,1.282831,-0.026951
2025-01-01,-0.013741,427,427,-0.029945,3.144734,1.244417,0.016204
2025-02-01,0.042515,427,427,0.019116,3.278432,1.268205,0.023399
2025-03-01,0.014935,427,427,-0.000705,3.327397,1.267311,0.015640
2025-04-01,-0.039852,427,427,-0.030030,3.194793,1.229254,-0.009822
